Number of scans,Number of scans before first consumer scan,Number of owners,Days since last scan,Days since manufactured,Days from manufactured to first scan,Days from manufactured to market release,Number of countries,Distance from selling point,Online selling,EU manufactured,Matching market and sale country,EU entry point,Days to expire,EU entry transport,Medicine category,Pack size,Pack type,Brand,Inspected?,Alert,Country Stamp,Suspicious level month stamp,Suspicious level year stamp,Suspicious level country stamp
10,8,1,36,49,11,10,1,4526,0,0,0,18,114,Mail/Courier,Hormones,more than 28 doses,Bag,4,0,0,8,Nov,2018,0
29,16,7,3,4,1,1,14,2219,0,0,0,11,285,Air,CNS,13 to 28 doses,Box,1,0,0,21,May,2020,0
7,6,2,99,218,71,67,4,2024,0,0,0,1,63,Mail/Courier,Hormones,12 or less doses,Bag,3,0,0,6,Apr,2018,0
26,17,2,18,21,3,3,9,4396,0,0,0,10,301,Mail/Courier,Genito-urinary,13 to 28 doses,Box,4,1,0,16,Dec,2019,0
10,8,5,0,0,0,0,2,4627,0,0,0,11,57,Air,Genito-urinary,more than 28 doses,Bottle,8,0,0,7,Oct,2019,0
1,1,6,96,123,6,4,8,126,0,0,0,6,301,Sea,Genito-urinary,12 or less doses,Bag,6,0,0,23,Dec,2021,0
11,6,4,54,66,1,1,4,1046,0,0,0,15,167,Air,CNS,13 to 28 doses,Bag,1,0,0,28,Jan,2020,0
8,7,3,77,99,13,12,6,2947,0,0,0,18,227,Mail/Courier,Cytostatic,12 or less doses,Bottle,3,0,0,18,Sep,2020,0
4,3,5,24,32,3,2,1,360,0,0,0,3,161,Road,Hormones,more than 28 doses,Box,7,0,0,1,Dec,2018,0
20,10,2,30,46,9,9,8,1224,0,0,0,23,170,Air,Genito-urinary,12 or less doses,Bag,0,0,0,13,May,2018,0
17,14,2,39,45,2,2,0,4075,0,0,0,19,226,Road,Hormones,12 or less doses,Box,8,0,0,22,Oct,2020,0
13,7,3,84,97,8,8,6,1580,0,0,0,13,68,Road,Anti-infective,more than 28 doses,Bottle,3,1,0,24,May,2021,0
20,13,7,116,157,14,11,0,1346,0,0,0,25,173,Sea,Anti-infective,12 or less doses,Bottle,7,0,0,15,Nov,2019,0
20,13,8,110,148,15,12,13,2873,0,0,0,25,258,Mail/Courier,CNS,more than 28 doses,Box,5,0,0,6,Sep,2019,0
28,19,9,10,13,0,0,11,2659,0,0,0,3,42,Road,Genito-urinary,12 or less doses,Bottle,1,0,0,19,May,2021,0
20,17,5,82,94,11,9,7,4191,0,0,0,6,121,Road,Hormones,13 to 28 doses,Box,8,1,0,23,Feb,2020,0
10,7,6,25,34,0,0,12,1108,0,0,0,15,161,Mail/Courier,Anti-infective,12 or less doses,Bottle,8,0,0,2,Jul,2021,0
7,6,9,94,127,13,10,8,3612,0,0,0,16,245,Sea,Cytostatic,more than 28 doses,Bottle,7,0,0,13,Sep,2018,0
6,4,1,108,167,26,16,13,1962,0,0,0,17,86,Road,Anti-infective,more than 28 doses,Bottle,7,0,0,19,Nov,2019,0
18,15,8,72,97,9,7,1,300,0,0,0,13,330,Road,Cytostatic,13 to 28 doses,Bottle,4,0,0,27,Jan,2019,0
3,2,2,97,119,12,10,10,1024,0,0,0,1,92,Sea,Anti-infective,13 to 28 doses,Box,5,0,0,21,Feb,2019,0
18,12,5,34,46,7,6,5,3054,0,0,0,6,65,Road,Hormones,more than 28 doses,Bottle,7,1,0,9,Apr,2020,0
25,14,9,90,111,20,16,14,1256,0,0,0,27,325,Air,Cytostatic,more than 28 doses,Bottle,9,0,0,15,Aug,2018,0
13,7,1,37,46,6,4,0,1433,0,0,0,13,173,Sea,CNS,12 or less doses,Bottle,9,0,0,7,Sep,2021,0
5,4,3,94,127,14,8,7,3946,0,0,0,2,152,Sea,Anti-infective,12 or less doses,Bottle,7,0,0,21,Nov,2021,0
6,5,9,53,82,25,24,10,3613,0,0,0,12,136,Road,Hormones,12 or less doses,Box,0,0,0,13,May,2019,0
6,5,8,60,77,14,11,8,4150,0,0,0,18,201,Road,CNS,13 to 28 doses,Bag,0,0,0,14,May,2020,0
1,1,8,63,85,15,14,2,4975,0,0,0,15,313,Road,Hormones,13 to 28 doses,Bottle,5,0,0,13,Nov,2018,0
8,5,3,83,106,18,11,13,1172,0,0,0,17,56,Air,Anti-infective,12 or less doses,Bottle,2,0,0,27,Dec,2021,0
15,10,1,14,17,0,0,0,4007,0,0,0,28,334,Sea,Anti-infective,more than 28 doses,Bottle,7,0,0,1,May,2019,0
5,4,1,106,122,7,7,2,1893,0,0,0,2,280,Road,Genito-urinary,more than 28 doses,Bag,7,1,0,17,Oct,2021,0
5,3,1,79,97,0,0,0,2743,0,0,0,11,259,Sea,CNS,12 or less doses,Bag,5,0,0,17,May,2021,0
2,1,1,114,251,33,31,6,3569,0,0,0,25,361,Mail/Courier,Genito-urinary,more than 28 doses,Bag,9,0,0,16,Nov,2021,0
26,17,6,60,132,14,13,12,3441,0,0,0,23,312,Mail/Courier,Hormones,12 or less doses,Bottle,9,0,0,20,May,2018,0
14,8,4,95,117,4,3,7,2726,0,0,0,26,34,Sea,CNS,more than 28 doses,Box,9,0,0,19,Jan,2021,0
19,16,4,111,142,17,16,0,3456,0,0,0,22,41,Sea,Anti-infective,13 to 28 doses,Bag,0,0,0,26,Aug,2021,0
20,17,6,15,20,0,0,14,2621,0,0,0,28,11,Sea,Genito-urinary,12 or less doses,Bottle,0,0,0,15,Mar,2020,0
20,13,8,5,8,1,1,6,1210,0,0,0,7,226,Air,Hormones,12 or less doses,Box,8,0,0,21,Jul,2018,0
22,15,4,12,14,2,2,0,2394,0,0,0,27,342,Sea,CNS,13 to 28 doses,Bottle,1,0,0,19,Aug,2018,0
12,6,7,5,7,0,0,11,1831,0,0,0,28,29,Sea,Anti-infective,12 or less doses,Bottle,3,0,0,14,Oct,2020,0
16,11,4,46,57,0,0,2,1523,0,0,0,17,100,Air,Cytostatic,more than 28 doses,Box,2,0,0,16,May,2019,0
27,15,2,49,60,5,5,12,90,0,0,0,8,357,Road,Cytostatic,13 to 28 doses,Bottle,6,0,0,23,Nov,2018,0
16,9,5,47,73,24,19,7,600,0,0,0,8,20,Sea,Anti-infective,12 or less doses,Bag,7,0,0,14,Dec,2018,0
2,1,2,6,7,0,0,13,1215,0,0,0,3,345,Road,CNS,12 or less doses,Bag,4,0,0,9,Apr,2019,0
22,15,8,98,152,52,42,7,2841,0,0,0,5,263,Road,Genito-urinary,12 or less doses,Box,4,0,0,12,Apr,2019,0
20,11,7,97,124,10,10,8,4038,0,0,0,19,158,Road,Cytostatic,13 to 28 doses,Box,7,0,0,21,Apr,2019,0
26,17,4,98,125,14,11,14,1309,0,0,0,20,161,Mail/Courier,Hormones,12 or less doses,Bottle,3,0,0,9,Apr,2020,0
8,7,4,10,12,2,2,7,2578,0,0,0,4,329,Mail/Courier,Hormones,13 to 28 doses,Box,2,0,0,4,Feb,2019,0
24,12,2,118,151,30,24,11,4262,0,0,0,22,228,Air,Anti-infective,13 to 28 doses,Bag,8,0,0,20,Nov,2018,0
18,9,1,61,134,60,57,9,2204,0,0,0,20,41,Mail/Courier,Cytostatic,13 to 28 doses,Bottle,1,0,0,7,Mar,2021,0
21,14,3,11,15,4,4,4,3932,0,0,0,22,143,Sea,CNS,13 to 28 doses,Box,8,0,0,8,Jan,2020,0
13,7,2,66,81,1,1,4,4723,0,0,0,17,268,Road,Hormones,more than 28 doses,Bottle,9,0,0,1,Jan,2021,0
13,7,4,61,78,2,2,13,4483,0,0,0,12,60,Mail/Courier,CNS,12 or less doses,Bottle,9,0,0,19,Dec,2021,0
22,18,6,45,58,9,9,9,3389,0,0,0,13,60,Air,Cytostatic,more than 28 doses,Bag,3,0,0,22,Sep,2019,0
16,13,5,6,7,1,1,0,288,0,0,0,27,357,Road,Cytostatic,13 to 28 doses,Bag,5,1,0,28,Aug,2021,0
12,10,6,1,1,0,0,7,2287,0,0,0,8,18,Mail/Courier,CNS,12 or less doses,Box,6,1,0,8,Apr,2019,0
20,17,5,49,60,3,3,12,155,0,0,0,18,177,Sea,Genito-urinary,12 or less doses,Bottle,3,0,0,2,Oct,2021,0
17,14,3,101,129,24,19,13,523,0,0,0,20,198,Road,CNS,more than 28 doses,Bottle,5,0,0,2,Jan,2020,0
14,8,8,48,65,7,4,8,397,0,0,0,21,106,Road,Genito-urinary,13 to 28 doses,Box,9,0,0,26,Sep,2019,0
24,16,8,72,158,78,74,4,2249,0,0,0,20,142,Sea,Genito-urinary,13 to 28 doses,Bottle,7,0,0,8,Aug,2018,0
4,3,6,116,157,24,14,8,3150,0,0,0,18,129,Road,Anti-infective,12 or less doses,Bag,4,0,0,12,Sep,2018,0
23,19,6,57,77,9,9,6,4260,0,0,0,21,21,Mail/Courier,Genito-urinary,13 to 28 doses,Box,3,0,0,25,Aug,2021,0
19,16,4,41,52,7,7,10,2614,0,0,0,2,29,Air,Cytostatic,more than 28 doses,Box,3,0,0,19,Feb,2021,0
11,9,7,79,107,19,18,0,4427,0,0,0,13,101,Mail/Courier,Cytostatic,13 to 28 doses,Bag,7,0,0,4,May,2021,0
22,15,5,36,41,1,1,10,4596,0,0,0,9,81,Air,Cytostatic,13 to 28 doses,Bag,6,0,0,15,Jul,2021,0
2,1,4,75,165,48,46,12,2793,0,0,0,26,343,Air,Cytostatic,12 or less doses,Bag,2,0,0,4,Nov,2020,0
15,10,5,24,31,4,4,6,3426,0,0,0,21,308,Sea,Genito-urinary,more than 28 doses,Box,6,0,0,20,Dec,2020,0
22,18,7,38,47,5,5,3,3188,0,0,0,27,54,Road,Cytostatic,13 to 28 doses,Bag,0,0,0,17,Apr,2018,0
14,9,5,64,79,8,5,0,857,0,0,0,12,11,Air,CNS,more than 28 doses,Box,0,0,0,13,Jan,2019,0
6,5,1,68,87,8,8,9,1655,0,0,0,28,54,Sea,Genito-urinary,more than 28 doses,Bottle,2,0,0,15,Jan,2018,0
23,13,2,64,74,7,4,9,2287,0,0,0,4,44,Air,Anti-infective,more than 28 doses,Bottle,2,0,0,9,Jul,2019,0
2,1,2,6,8,2,2,12,4490,0,0,0,9,155,Road,Cytostatic,12 or less doses,Box,9,0,0,1,Dec,2019,0
27,18,2,20,25,5,4,10,1933,0,0,0,1,319,Road,Cytostatic,12 or less doses,Bag,8,0,0,17,Apr,2020,0
2,1,1,25,39,9,7,3,195,0,0,0,13,38,Road,Genito-urinary,13 to 28 doses,Bag,0,0,0,10,Jul,2018,0
1,1,6,9,12,1,1,6,959,0,0,0,21,215,Sea,Hormones,13 to 28 doses,Box,5,0,0,19,Mar,2018,0
1,1,7,111,150,4,4,3,4917,0,0,0,10,253,Mail/Courier,CNS,13 to 28 doses,Bottle,4,0,0,26,Nov,2019,0
32,18,1,25,34,5,5,12,2164,0,0,0,9,1,Road,Anti-infective,more than 28 doses,Bottle,3,0,0,22,Apr,2020,0
25,14,1,91,112,20,16,12,2931,0,0,0,22,35,Mail/Courier,CNS,13 to 28 doses,Bag,1,0,0,17,Apr,2018,0
27,15,7,3,7,2,2,1,199,0,0,0,5,345,Air,Hormones,13 to 28 doses,Box,4,0,0,19,Jul,2020,0
4,3,3,96,130,31,19,10,743,0,0,0,28,181,Sea,CNS,12 or less doses,Bag,5,0,0,16,Sep,2021,0
22,18,8,102,138,29,23,14,1160,0,0,0,9,275,Mail/Courier,Hormones,more than 28 doses,Bottle,4,0,0,26,Dec,2019,0
16,11,4,73,90,12,10,5,3326,0,0,0,5,3,Mail/Courier,Anti-infective,12 or less doses,Box,5,1,0,14,Oct,2020,0
36,18,2,110,135,3,3,2,523,0,0,0,1,253,Sea,Cytostatic,13 to 28 doses,Bottle,3,0,0,14,Mar,2019,0
26,13,9,118,145,22,21,2,3324,0,0,0,8,180,Sea,Cytostatic,more than 28 doses,Bag,1,0,0,8,May,2020,0
4,3,5,109,147,4,4,10,3618,0,0,0,11,114,Sea,CNS,12 or less doses,Box,8,0,0,4,Mar,2020,0
26,17,1,50,78,26,16,6,4190,0,0,0,16,176,Mail/Courier,Cytostatic,13 to 28 doses,Bottle,9,0,0,5,May,2020,0
18,9,8,5,8,3,2,13,512,0,0,0,12,21,Sea,Cytostatic,12 or less doses,Bottle,8,0,0,4,Dec,2020,0
4,3,1,87,107,1,1,8,4256,0,0,0,26,330,Sea,Cytostatic,more than 28 doses,Box,3,0,0,20,Jun,2018,0
4,2,5,106,233,26,21,10,3485,0,0,0,22,140,Air,CNS,more than 28 doses,Bag,7,0,0,17,Jul,2020,0
16,13,4,78,96,7,7,9,4799,0,0,0,22,30,Road,Genito-urinary,12 or less doses,Box,3,0,0,17,Dec,2019,0
9,6,8,53,72,2,1,6,3516,0,0,0,18,14,Road,Genito-urinary,13 to 28 doses,Bottle,6,0,0,9,Apr,2021,0
23,19,2,108,133,25,15,7,1390,0,0,0,21,341,Road,Hormones,12 or less doses,Bag,7,0,0,6,Jan,2019,0
20,11,7,62,96,10,10,6,3544,0,0,0,7,349,Air,CNS,13 to 28 doses,Box,6,0,0,14,May,2021,0
17,14,2,55,70,9,7,5,1822,0,0,0,28,214,Air,CNS,13 to 28 doses,Bag,1,0,0,20,Aug,2021,0
22,18,8,3,4,0,0,13,2387,0,0,0,1,359,Road,Anti-infective,13 to 28 doses,Box,2,0,0,11,May,2018,0
24,16,1,23,31,0,0,1,2663,0,0,0,17,132,Mail/Courier,Hormones,13 to 28 doses,Box,1,0,0,12,Aug,2018,0
11,9,1,75,116,2,2,0,1655,0,0,0,18,324,Road,Anti-infective,13 to 28 doses,Box,1,0,0,12,May,2018,0
13,11,9,25,32,7,7,14,2096,0,0,0,2,178,Air,Genito-urinary,12 or less doses,Bottle,4,0,0,2,Dec,2021,0
36,18,1,54,69,0,0,4,4352,0,0,0,1,285,Road,Genito-urinary,more than 28 doses,Box,5,0,0,27,Jul,2020,0
18,15,8,45,70,8,6,4,2445,0,0,0,11,97,Mail/Courier,Cytostatic,13 to 28 doses,Bag,8,0,0,6,Mar,2018,0
11,9,4,2,2,0,0,2,37,0,0,0,12,120,Air,Hormones,13 to 28 doses,Box,1,1,0,10,Feb,2021,0
2,1,8,106,122,13,12,10,2148,0,0,0,24,37,Mail/Courier,Anti-infective,13 to 28 doses,Bottle,8,0,0,21,Apr,2020,0
22,15,9,12,14,2,1,3,1459,0,0,0,9,323,Air,Genito-urinary,13 to 28 doses,Box,7,1,0,12,Sep,2019,0
11,9,4,53,65,3,2,7,3031,0,0,0,19,233,Sea,Hormones,more than 28 doses,Box,8,0,0,14,Aug,2019,0
16,9,2,58,78,9,9,13,3807,0,0,0,9,3,Road,Genito-urinary,12 or less doses,Box,2,0,0,11,Dec,2018,0
24,16,3,3,4,0,0,6,3231,0,0,0,13,351,Air,CNS,12 or less doses,Bag,1,0,0,4,Jul,2021,0
18,12,7,69,107,22,13,1,537,0,0,0,16,80,Mail/Courier,Cytostatic,12 or less doses,Box,0,0,0,9,May,2018,0
4,2,3,40,46,3,2,1,4727,0,0,0,14,240,Air,Anti-infective,13 to 28 doses,Bag,2,0,0,9,Oct,2021,0
18,15,2,73,99,10,10,3,1558,0,0,0,10,311,Air,Hormones,more than 28 doses,Bottle,5,0,0,16,Jun,2019,0
25,14,2,36,44,6,4,0,1040,0,0,0,6,238,Road,Hormones,12 or less doses,Bag,7,0,0,17,May,2020,0
7,6,5,1,1,0,0,3,3675,0,0,0,8,157,Road,Cytostatic,13 to 28 doses,Bag,7,0,0,23,Aug,2020,0
4,3,3,7,9,1,1,14,2666,0,0,0,4,298,Mail/Courier,CNS,more than 28 doses,Bottle,0,1,0,24,Jul,2018,0
7,4,2,65,101,29,28,10,3030,0,0,0,8,130,Sea,Genito-urinary,more than 28 doses,Box,5,0,0,11,Jul,2020,0
8,7,6,73,84,11,9,13,2738,0,0,0,9,274,Sea,Genito-urinary,13 to 28 doses,Bag,4,0,0,11,Sep,2019,0
13,11,5,71,87,7,7,11,4278,0,0,0,5,135,Mail/Courier,Hormones,more than 28 doses,Box,0,0,0,28,Jan,2018,0
8,7,4,86,110,16,13,10,4369,0,0,0,12,94,Road,CNS,13 to 28 doses,Bottle,3,0,0,18,Mar,2020,0
10,8,9,33,73,12,11,8,2411,0,0,0,17,359,Mail/Courier,Genito-urinary,more than 28 doses,Box,3,0,0,23,Dec,2018,0
16,13,8,11,13,1,1,12,4150,0,0,0,9,363,Air,CNS,13 to 28 doses,Bottle,8,0,0,19,Aug,2021,0
11,9,2,12,16,4,4,4,214,0,0,0,28,227,Air,Anti-infective,12 or less doses,Box,3,0,0,8,Nov,2018,0
16,13,5,93,126,26,21,0,2057,0,0,0,12,133,Mail/Courier,Genito-urinary,more than 28 doses,Bag,3,0,0,22,Mar,2021,0
2,2,4,103,160,9,7,6,4569,0,0,0,12,350,Air,Anti-infective,more than 28 doses,Box,2,0,0,9,Jul,2021,0
2,1,8,101,129,22,21,7,1410,0,0,0,2,183,Road,Cytostatic,more than 28 doses,Bag,5,1,0,25,Nov,2018,0
26,17,2,52,60,7,7,2,1697,0,0,0,25,39,Sea,Genito-urinary,12 or less doses,Box,8,0,0,3,Aug,2021,0
7,6,9,93,107,11,10,3,1200,0,0,0,17,218,Air,Cytostatic,13 to 28 doses,Bag,4,0,0,23,Sep,2020,0
14,8,4,67,82,5,5,12,4625,0,0,0,17,248,Mail/Courier,Cytostatic,13 to 28 doses,Bottle,7,0,0,17,Jul,2020,0
27,18,7,99,127,13,8,13,436,0,0,0,21,125,Mail/Courier,CNS,more than 28 doses,Bottle,5,0,0,24,Sep,2018,0
17,14,5,8,11,1,1,4,150,0,0,0,19,21,Air,Genito-urinary,13 to 28 doses,Bag,6,0,0,24,Oct,2021,0
14,8,1,91,116,21,20,9,3035,0,0,0,27,81,Air,Cytostatic,12 or less doses,Box,5,0,0,7,Feb,2018,0
16,11,5,101,116,14,8,13,2833,0,0,0,20,206,Mail/Courier,Anti-infective,13 to 28 doses,Bottle,8,0,0,19,Nov,2018,0
22,12,9,107,137,12,11,3,4368,0,0,0,8,328,Air,Genito-urinary,12 or less doses,Bag,7,0,0,11,Nov,2020,0
9,6,8,55,70,6,6,1,2602,0,0,0,19,270,Sea,Anti-infective,12 or less doses,Bag,0,0,0,14,May,2021,0
23,19,6,35,47,10,10,8,2412,0,0,0,5,225,Road,Hormones,12 or less doses,Bottle,1,0,0,16,Jul,2020,0
9,6,6,15,33,14,13,11,1239,0,0,0,28,338,Mail/Courier,Cytostatic,12 or less doses,Bottle,8,0,0,24,Mar,2019,0
18,15,7,10,12,2,2,8,2642,0,0,0,25,163,Road,Anti-infective,more than 28 doses,Bag,1,0,0,3,Jun,2021,0
24,12,7,84,97,1,1,4,2197,0,0,0,8,115,Road,CNS,12 or less doses,Bottle,7,0,0,14,Jan,2018,0
14,7,3,58,90,11,9,2,3456,0,0,0,23,163,Air,Genito-urinary,13 to 28 doses,Bottle,8,0,0,3,Aug,2021,0
2,2,7,3,4,1,1,2,4434,0,0,0,1,339,Mail/Courier,CNS,12 or less doses,Bottle,3,0,0,4,Jul,2019,0
22,12,5,53,68,11,9,6,3291,0,0,0,8,325,Sea,Cytostatic,13 to 28 doses,Box,5,0,0,10,Dec,2018,0
38,19,5,37,50,11,7,14,3277,0,0,0,8,129,Road,CNS,more than 28 doses,Box,0,0,0,13,Feb,2018,0
17,14,1,84,130,18,11,10,928,0,0,0,28,120,Road,Hormones,more than 28 doses,Bag,2,0,0,5,Nov,2018,0
22,18,9,19,42,14,13,10,2633,0,0,0,24,53,Mail/Courier,CNS,more than 28 doses,Box,5,1,0,11,Aug,2021,0
18,10,1,14,18,1,1,7,1910,0,0,0,28,327,Sea,Cytostatic,13 to 28 doses,Bag,4,0,0,11,Jun,2019,0
3,2,5,7,9,0,0,13,2313,0,0,0,23,74,Air,Hormones,13 to 28 doses,Box,8,0,0,2,Dec,2021,0
18,15,1,22,25,3,3,9,4455,0,0,0,11,179,Mail/Courier,Genito-urinary,more than 28 doses,Bottle,1,1,0,20,Nov,2020,0
4,3,1,12,16,3,2,6,522,0,0,0,20,22,Air,Cytostatic,12 or less doses,Bottle,0,1,0,22,Mar,2021,0
4,2,3,66,76,5,5,11,4842,0,0,0,11,96,Mail/Courier,Cytostatic,more than 28 doses,Box,1,0,0,22,Jan,2020,0
12,10,9,81,93,11,7,4,4694,0,0,0,28,114,Mail/Courier,Genito-urinary,13 to 28 doses,Box,8,0,0,14,Jul,2019,0
23,13,2,113,139,25,24,6,1891,0,0,0,17,14,Road,Anti-infective,12 or less doses,Bag,5,0,0,17,Dec,2019,0
20,13,3,87,111,15,14,6,4741,0,0,0,6,39,Road,Genito-urinary,more than 28 doses,Bag,4,1,0,13,Jan,2021,0
14,12,2,64,79,2,2,5,4474,0,0,0,19,260,Sea,Anti-infective,13 to 28 doses,Bottle,7,0,0,2,Jul,2021,0
7,6,4,73,99,26,21,11,585,0,0,0,4,128,Road,Anti-infective,13 to 28 doses,Bag,2,0,0,7,Feb,2020,0
4,3,7,69,107,34,27,8,156,0,0,0,27,42,Mail/Courier,Genito-urinary,12 or less doses,Bag,3,0,0,25,Nov,2021,0
5,4,1,93,114,14,8,7,2663,0,0,0,13,246,Sea,Cytostatic,12 or less doses,Bottle,2,0,0,25,Aug,2021,0
2,2,9,113,130,0,0,0,1788,0,0,0,2,332,Road,CNS,13 to 28 doses,Box,9,0,0,4,Jan,2018,0
6,5,4,29,64,6,5,2,370,0,0,0,9,120,Air,Genito-urinary,12 or less doses,Bottle,4,1,0,14,Jul,2021,0
18,10,5,33,45,1,1,12,1091,0,0,0,1,5,Mail/Courier,Cytostatic,more than 28 doses,Bottle,8,0,0,8,Apr,2021,0
28,19,4,38,51,2,2,0,3768,0,0,0,14,60,Road,Hormones,13 to 28 doses,Bottle,3,0,0,8,Oct,2020,0
17,14,6,16,20,3,2,9,2249,0,0,0,8,173,Road,Genito-urinary,13 to 28 doses,Box,9,0,0,25,Aug,2018,0
11,9,8,51,59,5,3,5,2422,0,0,0,17,286,Air,CNS,more than 28 doses,Bag,5,0,0,14,Jul,2018,0
25,14,9,24,53,22,21,7,4350,0,0,0,8,349,Sea,Genito-urinary,more than 28 doses,Bag,5,1,0,11,Jan,2021,0
16,11,7,6,8,1,1,8,2404,0,0,0,18,82,Road,Anti-infective,more than 28 doses,Bottle,8,1,0,19,Dec,2020,0
8,5,7,103,118,1,1,3,1400,0,0,0,5,54,Road,Cytostatic,13 to 28 doses,Bottle,1,0,0,23,Aug,2019,0
29,16,4,82,101,18,17,8,2207,0,0,0,21,177,Mail/Courier,Cytostatic,13 to 28 doses,Box,3,1,0,11,Apr,2019,0
14,12,3,39,86,14,8,11,3957,0,0,0,2,42,Road,Anti-infective,13 to 28 doses,Box,5,0,0,28,Jan,2021,0
6,3,5,41,55,1,1,11,2851,0,0,0,9,107,Sea,Genito-urinary,12 or less doses,Bottle,2,0,0,2,Oct,2020,0
21,14,6,66,89,17,16,10,850,0,0,0,14,270,Road,Cytostatic,12 or less doses,Bag,4,0,0,17,May,2019,0
27,15,8,2,2,0,0,9,206,0,0,0,17,270,Sea,Hormones,12 or less doses,Bag,4,0,0,3,Apr,2021,0
2,1,7,95,147,48,46,3,2395,0,0,0,5,89,Air,Anti-infective,more than 28 doses,Bag,7,0,0,18,May,2020,0
10,7,6,72,97,8,8,2,2000,0,0,0,18,59,Mail/Courier,Anti-infective,more than 28 doses,Box,4,0,0,2,Apr,2019,0
22,11,7,58,67,0,0,12,2007,0,0,0,20,183,Sea,Hormones,more than 28 doses,Box,2,1,0,21,Jan,2018,0
5,4,7,96,118,22,21,12,1769,0,0,0,16,109,Sea,Hormones,13 to 28 doses,Bottle,7,0,0,3,Nov,2018,0
7,4,7,106,130,6,4,9,2132,0,0,0,22,38,Air,Genito-urinary,12 or less doses,Box,9,0,0,24,Aug,2019,0
12,10,7,7,9,0,0,3,894,0,0,0,16,197,Air,Cytostatic,more than 28 doses,Box,1,0,0,12,Jul,2019,0
8,7,1,97,112,3,3,13,1966,0,0,0,14,109,Road,Hormones,12 or less doses,Box,9,0,0,4,Jan,2018,0
12,10,3,41,90,32,30,12,3648,0,0,0,6,322,Sea,CNS,more than 28 doses,Bottle,4,1,0,7,Dec,2021,0
13,11,4,102,131,12,11,13,1620,0,0,0,12,242,Air,Anti-infective,12 or less doses,Bottle,4,0,0,24,Mar,2021,0
15,10,1,75,86,10,10,13,4438,0,0,0,8,251,Air,Cytostatic,more than 28 doses,Box,1,1,0,26,Dec,2021,0
10,7,3,102,138,35,28,4,1244,0,0,0,18,264,Mail/Courier,CNS,more than 28 doses,Box,2,0,0,24,Apr,2021,0
4,3,1,12,14,1,1,12,4741,0,0,0,13,126,Air,Hormones,more than 28 doses,Bag,8,1,0,6,Jan,2021,0
1,1,1,77,119,4,4,0,3873,0,0,0,14,92,Sea,Hormones,12 or less doses,Bottle,1,0,0,17,May,2018,0
13,11,6,117,158,26,21,4,1062,0,0,0,11,154,Air,Anti-infective,12 or less doses,Box,2,0,0,17,Jun,2018,0
16,11,5,28,36,2,1,13,2958,0,0,0,1,167,Sea,Anti-infective,more than 28 doses,Box,0,0,0,24,Dec,2019,0
14,7,8,80,124,4,2,8,1068,0,0,0,3,80,Mail/Courier,Anti-infective,12 or less doses,Bag,4,0,0,5,Jun,2018,0
12,8,8,23,29,6,5,9,2775,0,0,0,11,210,Sea,Hormones,more than 28 doses,Bottle,9,0,0,21,Mar,2020,0
7,6,3,61,95,0,0,7,2401,0,0,0,17,223,Sea,Anti-infective,12 or less doses,Bottle,7,1,0,22,Dec,2020,0
19,16,6,116,255,98,93,0,2212,0,0,0,24,167,Air,Anti-infective,12 or less doses,Box,3,0,0,25,May,2018,0
3,2,3,69,88,14,13,14,1030,0,0,0,20,245,Air,Anti-infective,more than 28 doses,Bottle,4,0,0,20,Apr,2019,0
28,19,1,72,112,19,18,13,4197,0,0,0,28,298,Air,CNS,12 or less doses,Bottle,2,0,0,14,Dec,2018,0
10,7,2,3,5,2,2,9,981,0,0,0,2,127,Mail/Courier,Anti-infective,more than 28 doses,Bottle,4,0,0,16,Apr,2021,0
1,1,8,81,104,19,18,2,1788,0,0,0,7,95,Road,Hormones,more than 28 doses,Box,2,1,0,27,Dec,2018,0
5,4,6,82,111,18,17,3,4972,0,0,0,12,359,Mail/Courier,Cytostatic,12 or less doses,Box,5,0,0,26,Aug,2021,0
8,5,6,20,23,2,2,13,3400,0,0,0,12,307,Air,Cytostatic,more than 28 doses,Box,8,0,0,1,Aug,2021,0
9,6,3,49,60,8,5,10,480,0,0,0,17,148,Road,Hormones,more than 28 doses,Box,5,0,0,8,Nov,2018,0
22,12,4,77,95,3,3,9,3736,0,0,0,2,215,Mail/Courier,Genito-urinary,12 or less doses,Bottle,1,0,0,20,Sep,2018,0
28,19,5,78,100,4,2,14,2838,0,0,0,10,282,Road,CNS,12 or less doses,Bottle,8,1,0,26,May,2018,0
22,15,5,100,128,27,22,4,4796,0,0,0,9,35,Air,CNS,13 to 28 doses,Box,5,0,0,2,Jan,2021,0
18,12,7,10,22,12,11,9,100,0,0,0,14,186,Mail/Courier,Genito-urinary,more than 28 doses,Bag,5,0,0,21,Jan,2021,0
8,5,4,38,49,10,10,12,1666,0,0,0,16,103,Mail/Courier,Anti-infective,13 to 28 doses,Bottle,6,1,0,10,Jan,2018,0
11,6,6,113,145,32,26,6,3249,0,0,0,5,280,Sea,Anti-infective,more than 28 doses,Bag,8,0,0,24,Jan,2019,0
6,5,3,26,40,5,4,10,3983,0,0,0,25,282,Sea,Cytostatic,12 or less doses,Bag,2,1,0,26,Nov,2018,0
2,1,9,80,124,30,24,13,3234,0,0,0,17,209,Air,Genito-urinary,12 or less doses,Bag,6,0,0,19,Aug,2019,0
11,6,8,83,106,18,14,13,4517,0,0,0,11,337,Air,Anti-infective,13 to 28 doses,Box,2,0,0,21,Aug,2018,0
